# wavenumber,reflectivity
6.002353000000000520e+02,3.072587713000000065e+01
6.007173999999999978e+02,3.081924117000000152e+01
6.011994999999999436e+02,3.090702514999999906e+01
6.016816000000000031e+02,3.099922417000000152e+01
6.021638000000000375e+02,3.110461457999999979e+01
6.026458999999999833e+02,3.118492393000000007e+01
6.031280000000000427e+02,3.127429784999999995e+01
6.036100999999999885e+02,3.135373326999999932e+01
6.040922000000000480e+02,3.144241844000000086e+01
6.045742999999999938e+02,3.155230523999999903e+01
6.050565000000000282e+02,3.162567136999999917e+01
6.055385999999999740e+02,3.173730593999999883e+01
6.060207000000000335e+02,3.186116339000000153e+01
6.065027999999999793e+02,3.197854943999999833e+01
6.069849000000000387e+02,3.210523935999999878e+01
6.074669999999999845e+02,3.222054374999999737e+01
6.079492000000000189e+02,3.236227264000000048e+01
6.084312999999999647e+02,3.247801747999999833e+01
6.089134000000000242e+02,3.260246312999999674e+01
6.093954999999999700e+02,3.270890041999999909e+01
6.098776000000000295e+02,3.281654205000000246e+01
6.103596999999999753e+02,3.291040448999999768e+01
6.108419000000000096e+02,3.298518038999999646e+01
6.113239999999999554e+02,3.309187434999999766e+01
6.118061000000000149e+02,3.312929576999999881e+01
6.122881999999999607e+02,3.318534770000000123e+01
6.127703000000000202e+02,3.326071795000000009e+01
6.132523999999999660e+02,3.333487719000000027e+01
6.137346000000000004e+02,3.338777143000000081e+01
6.142166999999999462e+02,3.348396705999999767e+01
6.146988000000000056e+02,3.351555399000000079e+01
6.151808999999999514e+02,3.361203840999999670e+01
6.156630000000000109e+02,3.367781503999999870e+01
6.161450999999999567e+02,3.376165421999999694e+01
6.166272999999999911e+02,3.387918264999999707e+01
6.171094000000000506e+02,3.395566294000000340e+01
6.175914999999999964e+02,3.405858213999999862e+01
6.180736000000000558e+02,3.419172800999999851e+01
6.185557000000000016e+02,3.428792935999999969e+01
6.190377999999999474e+02,3.439308499999999924e+01
6.195199999999999818e+02,3.449538792999999970e+01
6.200021000000000413e+02,3.457633660999999847e+01
6.204841999999999871e+02,3.469842750000000109e+01
6.209663000000000466e+02,3.474852273999999852e+01
6.214483999999999924e+02,3.483485253999999998e+01
6.219305000000000518e+02,3.492383559999999676e+01
6.224126999999999725e+02,3.494388012000000288e+01
6.228948000000000320e+02,3.502533283000000353e+01
6.233768999999999778e+02,3.507287802999999826e+01
6.238590000000000373e+02,3.511227155000000266e+01
6.243410999999999831e+02,3.515785876000000343e+01
6.248232000000000426e+02,3.519475633999999786e+01
6.253053999999999633e+02,3.521857637000000096e+01
6.257875000000000227e+02,3.526524853000000093e+01
6.262695999999999685e+02,3.530532596999999839e+01
6.267517000000000280e+02,3.535033700000000323e+01
6.272337999999999738e+02,3.539272032000000223e+01
6.277159000000000333e+02,3.542151239999999746e+01
6.281980999999999540e+02,3.545598946999999868e+01
6.286802000000000135e+02,3.551406867000000034e+01
6.291622999999999593e+02,3.553945284000000271e+01
6.296444000000000187e+02,3.556087115999999781e+01
6.301264999999999645e+02,3.560394388999999649e+01
6.306086000000000240e+02,3.559869343999999813e+01
6.310907999999999447e+02,3.564252032000000270e+01
6.315729000000000042e+02,3.563821749000000239e+01
6.320549999999999500e+02,3.567241522999999859e+01
6.325371000000000095e+02,3.569360120000000336e+01
6.330191999999999553e+02,3.573811981000000060e+01
6.335013000000000147e+02,3.578105088000000222e+01
6.339835000000000491e+02,3.580020207999999826e+01
6.344655999999999949e+02,3.583626272000000057e+01
6.349477000000000544e+02,3.584579374999999857e+01
6.354298000000000002e+02,3.585735610999999778e+01
6.359118999999999460e+02,3.586943919000000136e+01
6.363940000000000055e+02,3.588099185000000091e+01
6.368762000000000398e+02,3.586694798999999989e+01
6.373582999999999856e+02,3.585251166999999839e+01
6.378404000000000451e+02,3.582560834000000227e+01
6.383224999999999909e+02,3.581465558000000016e+01
6.388046000000000504e+02,3.576843906999999945e+01
6.392866999999999962e+02,3.571289174999999716e+01
6.397689000000000306e+02,3.570313800000000271e+01
6.402509999999999764e+02,3.565875888000000060e+01
6.407331000000000358e+02,3.564951488999999896e+01
6.412151999999999816e+02,3.560355493000000138e+01
6.416973000000000411e+02,3.559452069999999679e+01
6.421793999999999869e+02,3.556795522000000176e+01
6.426616000000000213e+02,3.556231508999999846e+01
6.431436999999999671e+02,3.554172213999999741e+01
6.436258000000000266e+02,3.553247964999999908e+01
6.441078999999999724e+02,3.550711976000000192e+01
6.445900000000000318e+02,3.548678772000000237e+01
6.450720999999999776e+02,3.546370599000000112e+01
6.455543000000000120e+02,3.543260774000000168e+01
6.460363999999999578e+02,3.541460086000000018e+01
6.465185000000000173e+02,3.538414949999999948e+01
6.470005999999999631e+02,3.534866431999999747e+01
6.474827000000000226e+02,3.530009109000000223e+01
6.479647999999999683e+02,3.521815232000000151e+01
6.484470000000000027e+02,3.522917254000000042e+01
6.489290999999999485e+02,3.516043434000000190e+01
6.494112000000000080e+02,3.511797218000000242e+01
6.498932999999999538e+02,3.505521118000000058e+01
6.503754000000000133e+02,3.499677150000000125e+01
6.508574999999999591e+02,3.494225976999999972e+01
6.513396999999999935e+02,3.486102200999999923e+01
6.518218000000000529e+02,3.481522168000000050e+01
6.523038999999999987e+02,3.475528854000000223e+01
6.527859999999999445e+02,3.471612764000000340e+01
6.532681000000000040e+02,3.466681865000000329e+01
6.537501999999999498e+02,3.460394316000000003e+01
6.542323999999999842e+02,3.454580396000000064e+01
6.547145000000000437e+02,3.450802806000000089e+01
6.551965999999999894e+02,3.446608693000000301e+01
6.556787000000000489e+02,3.441889760000000109e+01
6.561607999999999947e+02,3.436425243000000052e+01
6.566429000000000542e+02,3.434737710999999649e+01
6.571250000000000000e+02,3.428624229999999784e+01
6.576072000000000344e+02,3.423628293000000156e+01
6.580892000000000053e+02,3.420891489000000263e+01
6.585714000000000397e+02,3.416987406999999877e+01
6.590534999999999854e+02,3.414820768999999956e+01
6.595356000000000449e+02,3.412945859999999954e+01
6.600176999999999907e+02,3.410250732000000085e+01
6.604999000000000251e+02,3.409834816000000046e+01
6.609818999999999960e+02,3.407880280999999911e+01
6.614641000000000304e+02,3.409227711999999855e+01
6.619461999999999762e+02,3.408342901999999697e+01
6.624283000000000357e+02,3.408083391000000262e+01
6.629103999999999814e+02,3.408532008000000246e+01
6.633926000000000158e+02,3.408914177999999850e+01
6.638745999999999867e+02,3.411155207000000189e+01
6.643568000000000211e+02,3.409911400000000015e+01
6.648388999999999669e+02,3.412151805999999965e+01
6.653210000000000264e+02,3.413986838000000290e+01
6.658030999999999722e+02,3.417153970999999757e+01
6.662853000000000065e+02,3.420074670999999711e+01
6.667672999999999774e+02,3.427291899000000086e+01
6.672495000000000118e+02,3.434700473000000187e+01
6.677315999999999576e+02,3.440199348000000157e+01
6.682137000000000171e+02,3.449765905000000288e+01
6.686957999999999629e+02,3.455277135000000044e+01
6.691779999999999973e+02,3.463585873000000248e+01
6.696599999999999682e+02,3.468778873000000118e+01
6.701422000000000025e+02,3.472299514000000187e+01
6.706242999999999483e+02,3.478764722999999748e+01
6.711064000000000078e+02,3.482748531000000014e+01
6.715884999999999536e+02,3.484045644999999780e+01
6.720706999999999880e+02,3.487511264999999838e+01
6.725526999999999589e+02,3.495398570999999777e+01
6.730348999999999933e+02,3.501371900000000181e+01
6.735170000000000528e+02,3.509866149999999863e+01
6.739990999999999985e+02,3.517778003000000098e+01
6.744811999999999443e+02,3.526213185999999666e+01
6.749633999999999787e+02,3.537989953000000298e+01
6.754453999999999496e+02,3.546995365000000078e+01
6.759275999999999840e+02,3.554947184000000249e+01
6.764097000000000435e+02,3.566812430000000234e+01
6.768917999999999893e+02,3.578592916000000201e+01
6.773739000000000487e+02,3.589152685999999903e+01
6.778560999999999694e+02,3.599754556999999977e+01
6.783381000000000540e+02,3.612439499999999981e+01
6.788202999999999747e+02,3.622800327000000209e+01
6.793024000000000342e+02,3.634075331999999747e+01
6.797844999999999800e+02,3.646054792999999705e+01
6.802666000000000395e+02,3.658725319999999925e+01
6.807487999999999602e+02,3.670635399999999748e+01
6.812308000000000447e+02,3.682767677999999734e+01
6.817129999999999654e+02,3.696416444999999840e+01
6.821951000000000249e+02,3.708588842000000341e+01
6.826771999999999707e+02,3.720760385999999897e+01
